,sentiment,preprocess
6702,sadness,hate sweeti bad day
6703,sadness,ikr parent cake tho groceri shop go eat time
6704,worry,said fuck nose
6705,neutral,nobodi like feel low prioriti
6706,fun,yeah facefac nite went palisad see star trek rememb said car
6707,worry,follow friday littl later busi take ladi job
6708,worry,sorri type wrongli usual type someth wont read press enter button
6709,sadness,competit around corner slow least week twist ankl back jc aw pain
6710,sadness,get anoth alfi
6711,sadness,welcom twitter world andrew tell david twitter haha kiddin know booo
6712,neutral,bb
6713,neutral,ok
6714,neutral,life chang redhead got away
6715,worry,realli feel today soooo much work soar throat gosh
6716,worry,teeth eye hurt someon make feel better
6717,sadness,think unfair miss sun place work close write essay allow sunni
6718,sadness,headach
6719,worry,chauncey give last sac speech
6720,love,goodnight lovee attend extra class school tmrw urgh
6721,sadness,co worker last day go miss
6722,hate,guy soo unfair smh
6723,love,know mark still favorit boy ever nice ador
6724,neutral,use screen keyboard
6725,surprise,far downtown minut veggi burger
6726,worry,talk sinc last day school right
6727,neutral,suppos lt last tweet guess twitter ate
6728,sadness,evermor amp fashion rock poor foot though oww injur foot good sore tomorrow detail follow later
6729,love,hey want confirm still meet rivoli pm stay hour bit adloung
6730,worry,aww tri rest lang muna
6731,surprise,hangov today
6732,fun,wan na go sexxieluv parti though
6733,sadness,ughhh studi final wish could go prom
6734,worry,waaayyyi hungri oh fyi work email blah
6735,worry,total miss chatroom lame
6736,hate,oh god moth live fuck power outlet actual powersquid
6737,sadness,sometim forget boy feel
6738,neutral,long time expens
6739,worry,fun afternoon tri though bbq though feel bit sick
6740,hate,hate comput much
6741,sadness,think talk okay need get bed btw miss brother
6742,worry,sinu headach suck big time
6743,relief,think boat sail friend cco month ago wish luck though
6744,fun,soooo funni thank today btw lebron harass
6745,worry,oh snap broke windshield replac wiper blade
6746,love,know love nichola braun amp think make okay cameron wan na see either
6747,worry,damn broke day guitar hero metallica come boooooooo
6748,worry,straighten hair sprinkl
6749,hate,much amaz day pervert ruin
6750,sadness,stop tweet brain function wan na cri haha philippin tour pleas love
6751,neutral,idea
6752,neutral,giver life reward taker giver make taker possibl get appreci get taken
6753,neutral,serious dont like girl
6754,sadness,ate chocol
6755,sadness,move back home today pro obnoxi closer mpl run excurs least year
6756,worry,dang didnt even rememb bday today
6757,worry,think sister refusn get ticket next week
6758,worry,eat hot pocket anymor without think gaffigan
6759,empty,clean room
6760,surprise,suck draw tablet
6761,sadness,ive tri get year hard move your love suck
6762,love,see badli
6763,worry,would get thousand battleground battleground mean even know could reach number make trend tpc
6764,love,noooo quot thehannabeth crush quot
6765,surprise,alright babe gt lt boo gon na leav agaiiiiin
6766,relief,know worth shot though
6767,happiness,head beaumont
6768,worry,truli sad cheap littl camcord shot crap
6769,neutral,never got see print
6770,worry,hate gb ram use host gb virtual machin suck much
6771,empty,gon na nap chill probabl go movi later ugh headach sux ass cloudi day
6772,worry,hide behind cloud mr sun
6773,sadness,radio x go sport next month radio dead grandrapid
6774,surprise,slept almost hour straight still tire better get sick
6775,neutral,dm never sent
6776,sadness,sigh guess gon na meet today
6777,worry,god school go suck ass next year
6778,surprise,guy call hd kid earlier today hurt
6779,worry,pm ok let go bowman strategicclock first break aargh tire
6780,sadness,argu byron said fat
6781,worry,ugh know economi depress
6782,relief,hey chutti tire travel tomo friday
6783,empty,downfal relax later mad manual labor finish clean fridg fold cloth hous work blue
6784,sadness,wish chicago
6785,neutral,person know mani peopl agenc could built site like pre candid buy honda
6786,worry,huh cri forget
6787,sadness,slept hr bodi ach
6788,sadness,get go coffe fun hate
6789,fun,awww laavli got stun wee tan
6790,love,tri td battl cs processor nambu realli good unintuit
6791,sadness,doofu could happen wahhh break
6792,worry,think quot girlfriend quot need douchebag right mood feel neglect
6793,sadness,even fat huh friggin huge freak
6794,surprise,anybodi seen twinster
6795,worry,spent last two week attempt grow beard scratch fear may look bit rubbish
6796,sadness,left school dang straight dead lt hannah
6797,worry,home exactli meant home town comput uh brokt
6798,sadness,blah car repair almost dollar shop around better deal
6799,worry,sac offer fundament math teacher summer booo miss sac
6800,sadness,darnit see happen avoid interweb work
6801,neutral,dont dunno mom ever
6802,happiness,wish go still come nicol preprom wait preprom
6803,neutral,work five
6804,neutral,hungri appetit
6805,sadness,apart empti amp day sad last week
6806,neutral,shoesshoessho yayyayyay lol iwouldpostatwitp butidntknohow
6807,neutral,clean hous famili com later today
6808,neutral,start eat healthi
6809,worry,oooommmmggg prob busi slay properli hope stay ahead task week
6810,boredom,got home bank teller definit hit interest
6811,neutral,marri
6812,hate,feet cold hate feet get cold
6813,happiness,pretti good think overdid gym yesterday work
6814,surprise,day dayofservic complet ach clear tree around beauti lake split headach tho
6815,surprise,whoop got sunburnt
6816,sadness,awww sorri kind fish
6817,worry,ian go matine tomorrow plan least go expens night
6818,love,anoth song make cri cri day night long
6819,worry,suffer abandon issu think move without
6820,worry,tum unhappi morn amp definit hangov either call sick work except heidi need ride home
6821,sadness,guy stupid idea good girl actual care sad
6822,worry,bu stuck traffic gon na late
6823,fun,sleep timee want watch gossip girl way tire goodnight
6824,sadness,yep suppos last weekend filthi weather
6825,neutral,mmm btw talk amp gone
6826,hate,zoid torrent crash hour download done time appar zoid fan ever
6827,worry,feel better still cough move yet imposs
6828,worry,swear anxieti issu
6829,sadness,head dmv pay hard earn money
6830,worry,burnt finger toaster
6831,happiness,lipton sparkl green tea gross
6832,love,ye fb ah miss
6833,hate,freesat coverag sky dish realli realli bad moment block place realli annoy
6834,happiness,eeeeep jealou work receiv viva broadcast onlin plz
6835,sadness,forgiv hurt love
6836,neutral,well lemon ranch though
6837,worry,shot calmin
6838,empty,
6839,neutral,rumbo bachiller
6840,worry,get tht
6841,worry,awww leav she ace she fav actress
6842,worry,sickkk two day sinc summer start suck alreadi
6843,sadness,damp weather
6844,worry,ever restaur item menu lunch decis hard
6845,sadness,know suck master procrastin guy much fun without
6846,sadness,last day back work tomorrow
6847,worry,internet like th grade fast die
6848,worry,oh noon know make get lunch
6849,worry,sorri bearer bad news
6850,neutral,babi get shut today
6851,sadness,wish beach right
6852,worry,walk puppi downtown mysteri miss solv lock basement nearli two day
6853,happiness,hear
6854,empty,bore realli know
6855,neutral,wish would tweet follow
6856,neutral,ugggh school bore cant wait year stress shoulda stay home today
6857,sadness,happi bunni
6858,sadness,melt mayb squar inch skin ran cold water two ice ice melt hurt
6859,sadness,tbh credit phone sux cant even text peopl see happen like total grrrsvill
6860,worry,start get realli dizzi tour philippin feel bliss know effort worth
6861,worry,stress anyth get better sigh
6862,neutral,dang stuck fantasti pick
6863,worry,wordsaftersex ow rug burn
6864,worry,get upset work cu bindz bulli let go duti free shop
6865,empty,would like macaroni chees pleas
6866,hate,project suck
6867,relief,walk puppi downtown mysteri miss solv hid basement nearli two day
6868,boredom,gigant initi inerti get oneself work deadlin
6869,sadness,f hlt ganz montezuma iphon
6870,worry,omg pleas jona brother add extra date dublin novemb tri get ticket dey sold
6871,worry,yea look like sorri abt nt gettin touch hectic
6872,worry,think rate class sigh
6873,worry,nooooooo juli gon na back home nooooooooooo
6874,neutral,redneck appar
6875,worry,wish could fix dang thing
6876,sadness,second year
6877,sadness,miss
6878,neutral,eat home made indian food boak x
6879,worry,cold get chill
6880,worry,make sad peopl phone sick
6881,surprise,aw actual read first
6882,worry,look said someon actual dont dont ye ye ugh dont know
6883,surprise,wish come round miss
6884,hate,basketbal flat massiv spider pavement chalk sun gone fml
6885,worry,miss
6886,surprise,damn got right suppos took long repli lol
6887,worry,alway wake minut alarm schedul go
6888,sadness,miss much heart ach without bub
6889,sadness,far vigor prune regret remov mani cucumb flower cucumb plant
6890,love,follow follow sorri ahhahah miss
6891,worry,okay dedic th tweet fact go appl store huge crack glass screen
6892,worry,ye think stay offic slightli less ridicul hot
6893,sadness,tom today school play pov break almost cri show sao paulo today wish could
6894,neutral,friday friday morn ugh
6895,anger,arduou task accomplish work stuff alreadi done amp usual either
6896,neutral,found fuck frenchi set preced
6897,surprise,fruiti pebbl lucki charm
6898,neutral,proof number life imaginari boyfriend name vinc sad friend encourag
6899,sadness,oh check stock port market unabl buy ticon best price
6900,hate,pc
6901,worry,ive burn like ginger kid sun arm red
6902,worry,happi birthday meeeee excit go tonight gon na miss girl
6903,sadness,even like answer life last night pshh
6904,surprise,cant believ tila tequila ct didnt know upset
6905,fun,get field vehicl clean look like action hero governor want give anoth furlough day nice
6906,worry,twitter say need break back bit capac
6907,sadness,good bore work
6908,worry,back work tomoo day bee
6909,hate,reli gd holiday buh revis x
6910,sadness,oh pw done wrong sign time ur children articl wrong neil gaiman teas bea
6911,worry,feel low depress holiday
6912,worry,haha yeah hate see pain send hug hate see your unhappi
6913,hate,happen dm need txt phone defunk
6914,worry,
6915,neutral,stfu list link broke
6916,sadness,jeff get visa time visit sad news go lapa tonight samba night away
6917,sadness,sooo tire cubicl
6918,worry,oh sorri hear hope everyth work
6919,sadness,lay bed listen opticon miss joe veneck
6920,worry,go check make sure fishi dead poor fishi
6921,sadness,cheer yell shake chant suck quot x quot got suspend amp give public apolog lol
6922,neutral,brought back memori mention mixer push angel desk full glass beer fault desk f
6923,fun,blah regist coach summer eh tourney start juli th vacat th fk life haha
6924,relief,leav soon kansa citi stuff day live carthag left
6925,hate,hello back andim drunk much asi love friend hate unintent make feel inadequ ineedhelp
6926,surprise,oh read
6927,worry,close eye watch
6928,worry,eat lunch wife like want
6929,sadness,goddamn fuck suck hug
6930,sadness,miss babi day
6931,neutral,geocach seem huge delay deliv pocket queri
6932,neutral,ah ye know feel
6933,surprise,lie like restaraunt name quot garfield quot nowher found
6934,happiness,nice beta easport still news onlin madden
6935,neutral,yawn ow caught cramp mayb nap
6936,worry,suck hope problem free weekend
6937,worry,ff wrong
6938,worry,readi babi tomorrow grow fast
6939,neutral,get readi theatr seem like cloth moment might wear wear day
6940,neutral,anyon know pc keep restart
6941,hate,jealousi make differ person freakin hate way got ta suck guess
6942,neutral,actual particip lit today p better rain
6943,sadness,tire idk much church nite got ta write sermon wash amp flat iron hair eat much
6944,neutral,food oven still frozen seem advanc clock flash make oven work
6945,sadness,wk wishin anni grad ceremoni coodnt becuz sumthin dnt mention sooo sad
6946,worry,look forward long trip morn sick
6947,happiness,recollect jog almost perfect except unkown type hang vehicl much mental nois mile jog
6948,worry,saw nd june make think jenni miss much
6949,relief,know weather clear suppos nice sat sun
6950,worry,ohhhhh busi see
6951,neutral,argh total right escap
6952,fun,yesterday today weekend back work moro
6953,sadness,look like offic tv get mlb network look like mlbn televis bal game today wieter
6954,neutral,tire
6955,surprise,bad enough time last night bodi decid want sick
6956,surprise,like doubl post twitter lol anyth
6957,worry,lol freakinggg wors looks shirt short sandal look like gon na rain outsid boo yahoo wearther
6958,worry,let queer boy donat blood
6959,neutral,safari beta x crash loop startup back cooki save firefox
6960,sadness,drum made peopl set give back
6961,love,open good agre w
6962,worry,ditch miss wish rubi boy would repres
6963,neutral,half hour work wish someth
6964,happiness,mean post concert blue lol well soooo know mean
6965,sadness,freez cold cant function right type weather starv max
6966,sadness,leg hurt stand day
6967,worry,want set coffe shop money
6968,neutral,ok might lil slow quot ff quot mean
6969,surprise,run thing say start think hate flood inbox quot philippin tour quot
6970,happiness,live live dj jayem bb r click
6971,anger,everi time succeed code get quot sorri credit card declin time quot
6972,neutral,love avail pm dear would love help convert vid
6973,neutral,ghunght chanda phir bhi phela chaaron aur ujala love songggggg ps got lost morrison
6974,surprise,damn wish go found late get wrangler kid miss mountainjam everi year
6975,surprise,ohoh miss ur tweet gon na stay awak night see announc damn time differ
6976,happiness,found babi cousin gon na dad least marri alreadi everybodi get marri kid
6977,hate,hottest stressiest day work f area manag happi go home
6978,worry,tweet alli court last time sad sad moment
6979,hate,suck
6980,worry,cant chanc sold atx wait long
6981,love,sick right thank chicken soup bed
6982,happiness,great time six flag yesterday summer friend spent night last night left bore
6983,worry,weird
6984,surprise,hahahaa sit outsid came bit haha ago dad cut grass
6985,neutral,portugues nation librari could use right seem stuck somewher circa exampl
6986,happiness,nobodi ever make sad
6987,worry,came back watch termin salvat cathay much action feel sorri marcu though
6988,neutral,dilemma wear sanfran foggi sacramento cple hr sun degr
6989,sadness,gave brother hug good bye took load furnitur away hous took mattress like
6990,worry,scratchi scratchi throat warm fluid need
6991,worry,fact bad cook ship cook neither chicken
6992,hate,aw xxxx
6993,worry,work punchi due two earli morn pager event
6994,worry,saw sun blink gone
6995,worry,ahh close
6996,neutral,mom get paid
6997,worry,cankl sore
6998,worry,med percentag back feel wors
6999,sadness,woch warten
7000,neutral,go say let go lunch
7001,neutral,lol suck
7002,sadness,grr stupid meebo disconnect everi second
7003,sadness,super pump quot relay life quot tonit walk honor sweet grandpa uncl howard past yesterday
7004,worry,throat kill whine great
7005,worry,edit crap school drag give lol home wan na go home vida bore right
7006,sadness,miss old tell person
7007,worry,botega
7008,surprise,thank iphon kept asshol
7009,empty,realli wish spare cash buy new punch wii
7010,surprise,wow r watch outsid smelli english
7011,empty,even tell much hair dresser pissssss clue wtf ask expect worst
7012,neutral,yeah
7013,neutral,ehhh scratch lay sun go lunchhhhh
7014,worry,neighborhood ga station gone kaput busi conveni trip ice whatev mile travel
7015,worry,ahh normal would jump man offic solo today
7016,sadness,freez math class
7017,love,turn june youth shelton bday go snag piec mancandi miss everyday hot chocol lt
7018,worry,last day sad
7019,happiness,realli wan na play
7020,neutral,yeah got qualifyin whole race tape delay
7021,sadness,gah buddi must hang person right miss along parker mcphee
7022,neutral,yeah burrito tast like avocado ranch sauc
7023,sadness,feel today go bore work
7024,worry,go home get home black berri woo hoo get see presten lt
7025,love,go home get home black berri woo hoo get see presten lt
7026,sadness,work freakin comput tri save stuff harddriv seem fail miser
7027,hate,oh hate friday even
7028,sadness,kerri threw ball anand bounc head land lunch explod everywher
7029,sadness,take sick children
7030,worry,get hair cut todayyyi nerrrvou
7031,neutral,love love mr player visit miss girl
7032,hate,oh forget thing see ahah hate creep
7033,worry,go work bummer
7034,relief,gave inspir last updat
7035,sadness,tummi ach probabl help eat mani tic tac
7036,worry,went realli long cycl ride mum brother bff today bum ach
7037,sadness,weather suck
7038,neutral,wack put swimsuit regular pant least
7039,worry,feel ucki today need defens vitamin water sick more
7040,happiness,oh noesss senior last day howev tickl floor giggl made total worth plu senior sandwhich
7041,happiness,ask mum bout go tommorow laugh lmao
7042,worry,ugh breath right today
7043,neutral,think control thought
7044,sadness,back work
7045,worry,way ft knox
7046,surprise,cant go sunday caus help day piano recit suck
7047,worry,wow last hour twitter yet sent twitter guy w
7048,sadness,got hair cut great stupid gum
7049,sadness,comput work work booo need new tgif
7050,worry,ask everyon pleas join pray mom got home go see heart doctor
7051,surprise,say
7052,surprise,eh never heard belfast like everyon love
7053,worry,unlock decad lucki never gottta make luck involv
7054,neutral,mmm nando good topshop rule actual devast cant london show quot quot bail
7055,sadness,regrettin decis made
7056,worry,rememb differ cord meant lost half leav graduat anyway
7057,surprise,think revis garden morn without sunscreen isnt best idea ive oucccccccch
7058,happiness,pub garden boil hannah likey
7059,neutral,portugues nation librari could use right seem web exampl
7060,sadness,suck majorli swamp twitter know still golf tournament
7061,sadness,mayb first mistak everyon cool brown nose moment
7062,worry,burn ohh xoxo
7063,neutral,hate arriv employe park lot
7064,neutral,ye work
7065,surprise,wive aunt th
7066,neutral,want buy realli red lipstick wear often
7067,surprise,mtn dew mini fridg
7068,happiness,hotttt weather get blackk start rain
7069,sadness,work suck big time
7070,sadness,say goodby good trust friend today goodby free sky tv best friend anyon could
7071,neutral,work feel like bein di bitch today
7072,worry,ouuhh dont cri feel sad right
7073,happiness,new babi well attempt quot paint quot weekend
7074,sadness,crappi day
7075,hate,still work
7076,love,work weather beautifulll
7077,worry,meant see lot tonight tix ran
7078,sadness,urg go shop hmmm got money
7079,neutral,well normal day alreadi done work unfortun normal day mean offic late
7080,sadness,well poop guitar lesson cancel today sad hope feel better soon tho
7081,hate,omg guy know get nasti head hurt
7082,worry,back vet good
7083,worry,everyon abandon offic still hour go
7084,hate,wait long line chick fil
7085,worry,line wait knew
7086,hate,need blanki train icebox
7087,sadness,love leav
7088,worry,peopl wi cell hub mean kinda grid tweet take like minut
7089,hate,came home get ratti shop staff blister foot meh
7090,sadness,shaw guy sleep
7091,worry,well poop look like offic key key neighbor key bike ride
7092,worry,know work keen pay though ndari social network
7093,relief,went get car inspect sticker got gigant red r keep pile worri ok
7094,sadness,tummi hurt
7095,worry,contribut econom stimulu wal mart expect tire replac
7096,worry,laundri instead sit darn laundri keep mock
7097,surprise,lucki beggin juri duti year dont ever send notic notic peopl address
7098,enthusiasm,headach
7099,worry,lost without laptop break today made even wors big boss skipton show today
7100,sadness,cant get keep get error
7101,worry,math amaz hell time socialili naiv part fine
7102,worry,miss
7103,love,wish everi day
7104,relief,ano bang aasahan iyo never fail fail
7105,surprise,ye sober hahaha tanghal tapat dude haha wild kno plan plan go us
7106,neutral,gadgetopia need dm follow send email
7107,hate,flip flop menac cut feet ouchi
7108,love,weekend even though work
7109,fun,offic tri solv mysteri whose blood bathroom toilet ee
7110,happiness,aoh best band play frosh stoke work tonight els total
7111,relief,best could proof crack lol
7112,sadness,talk vincent miss baadli
7113,neutral,would premier avatar footag better hang
7114,worry,think trap back garden cant find hope someon els garden dont fanci find poorli
7115,worry,enough close contact twitter follow friday followfriday
7116,hate,suck
7117,sadness,mourn venu third round loss
7118,worry,ugh stupid teenag show peac time
7119,neutral,grr everytim get new girlfriend bottom totem pole
7120,sadness,sick like day
7121,neutral,wow atleast three week two month go go away
7122,worry,sorri hear
7123,happiness,member cf check facebook comput immedi sweet video gulardi wait made teari
7124,worry,panera nice iphon
7125,hate,work got meet staff big bad boss today
7126,worry,easi say walk away first sorri readi yet finish care
7127,happiness,dear go fuck kiddo go noth awesom where shop lt
7128,worry,matter
7129,sadness,go enough money get ticket
7130,hate,hell rain hate rain
7131,worry,crave burrito boy larg halibut everyth jalepeno line hot sauc anybodi hook
7132,worry,ok guess need actual work long pm oh may ditch earli
7133,sadness,fail cut peel mango hah weird tri father like noth
7134,neutral,mymath time cud read mind nerd durin exam
7135,neutral,almost pace wait up truck packag ichiban probabl
7136,worry,miss hope come back
7137,sadness,lookin ward work mz gna b like day weatherwis itl b even wors xo
7138,worry,hope ok miss doc better douchenozzl right back
7139,sadness,like almost sholder
7140,fun,hug hubbi probabl place st septemb
7141,sadness,ew sorri zach
7142,sadness,agre great day window see
7143,neutral,
7144,neutral,actual time get train would arriv
7145,neutral,start account year
7146,worry,wow mosquito backyard suck cough half death middl night keep cassidi awak
7147,worry,goin way b dix get swim tomorrow
7148,worry,gon na eat someth feel horrid need hug
7149,sadness,trip dc next week cancel artomat beer
7150,surprise,akh woke miss much say hassan speech
7151,neutral,got wiff pazik fart
7152,surprise,wow person
7153,neutral,weekend cuzzo vivi stand leav week
7154,sadness,go excurs week twit
7155,neutral,make space comput game meet minimum requir sim moment
7156,neutral,need snuggl time get work day first boo
7157,worry,back hurt meant go tonight poor rik
7158,worry,wait nearli hour bank
7159,fun,headach suck especi stress relat one use get lot lt
7160,worry,crash drive alon besid crash got ta work lol
7161,empty,bah made hungri
7162,happiness,yay least get see next year sad
7163,happiness,got done work today got anoth yippe go vacat next week brave calc
7164,neutral,dinner amp shower time back revis day left
7165,neutral,ok time studi bu law ethic got ta test today
7166,sadness,ye went smooth bad get back work though enjoy friday
7167,surprise,play hooki work go see hope get along
7168,worry,donat sweeti doctor
7169,sadness,ahhhh geometri like said b would graduat feel ur pain
7170,worry,snotti nose poorli chest good
7171,love,wish
7172,neutral,comon answer think friend drawn x
7173,worry,wrong
7174,relief,home take nick home littl lighter pocket flash speed camera
7175,sadness,comment directli someon alon
7176,sadness,hate get put steroid
7177,love,followfriday thank much behind still half
7178,sadness,lol clever extrem jealou amount follow
7179,neutral,cant even call nigga bitch bogu shit yah digg
7180,worry,oh good aw
7181,sadness,guess mean beta read either stori huh
7182,sadness,sad beauti marisa dress leav today tear
7183,worry,keep tri win right answer though trick question
7184,sadness,refus accept us holiday head woodi longboard diner hove
7185,sadness,got back home shit meet tmrw stay view even dont fresh undergar tire hr work day
7186,sadness,manchest wayyyyy busi warm today
7187,sadness,lost friend didnt anyth
7188,worry,homieeeeeeeeee miss live last night hope tonight hit cuti
7189,sadness,day noth
7190,sadness,bad day
7191,worry,got tip mum yr old cf sleep night fall asleep midday
7192,worry,wait wake hazin sad
7193,sadness,wish eat lunch w
7194,worry,gut isnt go tonight
7195,fun,boo sleep say hi random peopl
7196,neutral,feel madli sorri seck make feel better go fashion show
7197,anger,year realli want jami cook book english german
7198,neutral,kinda like car situat late prevent particip due carless
7199,hate,ooh your comput make playlist onlin pl bore ive block everyon
7200,hate,twenti minut fuck call would think person would mention alreadi troubl ticket investig issu
7201,love,back great time spent cousin technic uncl aunt icecream dint tast good
7202,worry,momz rubz tht goin musiq soulchild contest rude
7203,neutral,work day
7204,sadness,oh sorri lot fun though great time
7205,anger,murphi law sorri comput cooper lot work kid
7206,sadness,kno behind time learn troy quot bag quot dixon die back dec th rip troy
7207,worry,much pm think go get done
7208,worry,bday weekend shit alreadi head south might drive atl tonight
7209,worry,come worst possibl thing happen swine flu aid rrod
7210,fun,toooooom tour philippin pleeeas risk health get repli haha
7211,surprise,sad air school got two award
7212,worry,god hate scari movi wimpi
7213,surprise,sad young love come sooo cute togeth
7214,neutral,today go way plan earli lunchbreak amp may back weekend gon na fun friend tho
7215,worry,start pn lean coach next week wait compliant right pnlc
7216,neutral,noth bout go work
7217,empty,like new termin movi
7218,worry,worri cousin
7219,hate,oh sorri feel pain kill either alway find
7220,worry,wish could buy blink presal ticket total money right guess wait gener admiss
7221,neutral,crave cinnamon toast crunch cold today
7222,worry,damn
7223,happiness,friday got ta work tommorow tho
7224,worry,aww sri yesterday
7225,enthusiasm,need buy cheap verizon phone
7226,hate,ahh hate sick watch aton sleep
7227,hate,hate june gloom get excit beach
7228,neutral,excit today still much
7229,hate,week palm pre come centro temp phone contact transfer yet sadpanda fb
7230,sadness,sleep need go mum time get clara bed
7231,worry,omg head still hurt need get comic today got hurri lol
7232,surprise,gah realiz meet
7233,sadness,burn tongu
7234,sadness,sad cuz mommi leav indi today
7235,sadness,fun fill even funer home joy
7236,worry,stage consult ltr day beauti town dunda x file film episod think run david duchovni probabl
7237,sadness,ugh deliveri postpon she babi work
7238,sadness,work head hurt littl due neck hate sleep wrong
7239,worry,lol thank scari wear though
7240,neutral,done exam focus summer school dayuumm life hard
7241,sadness,wish
7242,neutral,miss hello kitti enough time oh well
7243,neutral,ah sorri play game psp friend tonight return ago
7244,happiness,womp womp woooomp
7245,worry,well guess mccafe tast like shit cure ur crave get mcskillet want
7246,surprise,long
7247,worry,haavent read paper yet magic loss get watch game last night know lost
7248,surprise,sit next kindl know ever jealou
7249,worry,feel sick oreo cheesecak milkskak lol
7250,worry,log onto minto like month saw upset got ta better
7251,hate,god hate scari movi fun wimpi
7252,worry,bum maxi dress think cute summer quot
7253,worry,never good especi friday night
7254,sadness,shit aw could believ first sad
7255,surprise,need wait anoth year toy stori
7256,worry,haha sorri hear
7257,sadness,fedex pizza cancel nyc trip later summer
7258,hate,ebay use account year cant unlock support dead aka auto hello script
7259,relief,head sam adam breweri sampl get
7260,worry,go beathroom know reach find cloth need walk outsi get bathroom ok night ok daylight
7261,neutral,help find mise pugsli
7262,neutral,soooo loney
7263,sadness,hope migrain stick around long
7264,neutral,blerrrrrrrrrrgh hot sticki
7265,neutral,go vp will
7266,worry,sunburn ouch
7267,fun,say hello marina green particip barcelona weeken
7268,sadness,asap kid asleep car seat arianna us need pay vs bill
7269,worry,got real excit caus thought teniec twitter
7270,sadness,sad time
7271,sadness,ive tri tri past learn cockney sadli near imposs find book thing
7272,hate,travesti
7273,hate,freakin day thought would look forward
7274,empty,slammin headach sun
7275,worry,how possibl rain forecast pinkpop ticket
7276,worry,oh god terribl
7277,sadness,hate leav teddi miss boy damn
7278,worry,curs bad time make happen soon though
7279,sadness,comput got screw hell virus finish wipe drive reinstal window xp mac
7280,sadness,would defo done alreadi book side countri
7281,worry,mood go work guess got ta done
7282,fun,realli go concert tomorrow
7283,love,home tomorrow run spin time chiropractor laundri shop visit famili miss nathan
7284,surprise,know like boil peanut
7285,neutral,ooo growl yummi time come soon huh oh yeah hunt combo tshirt think find
7286,happiness,play friendli gm today bulgaria def pt offens still work time israel sun got ta cut player
7287,love,yeah realli feel either cours like movi line wish get anim
7288,hate,left school new dress broke strap rip
7289,neutral,tp report
7290,worry,lot hell yeah rebel meet rebel dac pantera like pantera song find cowboy hell cd
7291,worry,pup would love butt save live saturday night although know miss blast
7292,neutral,short hour left go work
7293,worry,could use hug three even option mile away
7294,neutral,noooo fb good especi love convers
7295,sadness,guess meant chang
7296,happiness,lol teach blindli trust amazon search result without read
7297,worry,least band aid follow make feel less left loop
7298,worry,wish rain would stay away go pool
7299,surprise,yet
7300,hate,got key new flat gorgeou weather weekend spend quot pack quot
7301,worry,late jump plane richmond go condit concert think ye boo life ohio
7302,worry,look though sick littl friend
7303,surprise,that cool dang ihav clean room lol good luck w job gurl
7304,relief,plan go sleep earli tire work
7305,empty,got wisdom teeth remov hurt
7306,fun,wzzzzzzzzzup derrek r start band practic jayk skylar leav california today lucki
7307,sadness,dang far away darn dream
7308,surprise,make boyfriend look differ cute matter lt
7309,worry,miss babyyi
7310,worry,workk yay
7311,sadness,wow saw tweet proflow fiasco fun
7312,sadness,wish
7313,boredom,spent much today tube journey alway soo long brace thursdayyy
7314,neutral,yea nice weekend
7315,neutral,woohoo procrastin work go lunch wait sister though dang
7316,sadness,lost first field note notebook page fill rip fieldnot
7317,surprise,must get
7318,worry,hate abl see monitor minut sun blind
7319,neutral,kno saddo
7320,neutral,reason get boc
7321,worry,sure find new set challeng twitter best luck
7322,love,look date today year anniversari grandmoth miss mane sad
7323,worry,cri like babi put year ago tear happi watch
7324,fun,would love ride superman right
7325,worry,ohhhh make sens need reread lotr trilog lost three book long time ago sad
7326,worry,cost live cheap social life scare bore dull life
7327,hate,deal anoth raini day hell happen summer freakin cold
7328,sadness,didnt enjoy say goodby alex emot time sun make happi
7329,neutral,aww read tweet sure later either work feel us
7330,worry,bum go open hous today dd woke stomach bug blech fun
7331,fun,sowwi lil late lol look good though
7332,surprise,ever delet twitter
7333,neutral,kno came coz sun kept go behind cloud back sat window floor lol
7334,sadness,brother wander around hous underwear charm sister femal guest sure
7335,worry,lose wisdom teeth make wise soon without trace wisdom
7336,worry,tri buy new bibl dog chew
7337,love,photo still havn hook edit comp know guy miss artwork decid
7338,worry,victor drew hannah montanna yearbook hahaha go miss nd much
7339,sadness,damn stephan even feel sorri work
7340,fun,realli good salli beeeeen xxxx
7341,happiness,excit see girl today bore work without
7342,neutral,littl girl still hold phone tear pour eye
7343,worry,suddenli sick flu quit sad
7344,neutral,got case bubbl
7345,sadness,grade daughter grade math soo sad
7346,hate,got work today go anoth long ass day
7347,sadness,like bang hair back
7348,sadness,di damn usb charger good nothin got ta find verizon store fone dead sinc last nite
7349,worry,glad class friday need break algebra test wednesday
7350,worry,spent whole day edit pro tool luvvv thing becom quit pro give insan headach
7351,worry,oh that good pierc bottom lip right side th grade pierc dress code
7352,sadness,sad work today cant win ticket
7353,worry,might swine flu haha caus got flu
7354,sadness,sun burn today arm look angri parti tonight tho babe woop
7355,worry,sad john cryer ex wife sarah trigger charg abus rope mark around neck
7356,hate,walk class hate bike especi
7357,sadness,need get good hard workout today work feel like slack good
7358,worry,poor butterfli dead
7359,sadness,bloodi exam next week
7360,neutral,sure think revis effort need monday
7361,relief,start day find lump bodi went hospit appar noth fewfffff bloodtest suck haha
7362,worry,joke sure
7363,hate,love tell match shirt perfectli move pleas suppos without
7364,worry,experienc problem log digit point forum
